,ret,weight,turnover,target,evrp,idx_ret
2012-04-09,-0.008676023014247665,-0.1701648711125318,0.0,-0.1881,6.558446912767318,0.054220909944973875
2012-04-10,-0.011157666518177449,-0.2039,0.02054379023759975,-0.2039,8.991088150711581,0.06550937658388235
2012-04-11,0.0035030213270142024,-0.19969743430167702,0.0,-0.2002,7.070696611240379,-0.017180094786729782
2012-04-12,0.02177296714048065,-0.17413307347436804,0.0,-0.172,2.0535127474415162,-0.10902977905859756
2012-04-13,-0.015180592510506866,-0.19223185951165842,0.0,-0.1955,3.4674735163990675,0.0871781115879828
2012-04-16,0.0027863111930199655,-0.1889191607464746,0.0,-0.1955,3.818343712222088,-0.01449453384105137
2012-04-17,0.012715036026895488,-0.173991812554563,0.0,-0.18460000000000001,1.038020536724865,-0.06730411026946488
2012-04-18,-0.005377006452123533,-0.1803385002862922,0.0,-0.1864,1.2392667094094598,0.030903790087463627
2012-04-19,0.001316339418148137,-0.1787868167338321,0.0,-0.18359999999999999,1.328291320175012,-0.007299270072992805
2012-04-20,0.006038769447051754,-0.17171112340106703,0.0,-0.1744,0.33831973490766387,-0.03377636873552002
2012-04-23,-0.007542531775900301,-0.18061595677014072,0.0,-0.18969999999999998,2.274762914667644,0.04392570281124508
2012-04-24,0.007218586760946163,-0.17215465668362293,0.0,-0.18100000000000002,3.8369366075489673,-0.03996649515376337
2012-04-25,0.009905724293303697,-0.1606575034554392,0.0,-0.16820000000000002,1.5441667464835156,-0.057539682539682516
2012-04-26,0.0045181639297474764,-0.1554370494554955,0.0,-0.1624,1.9685906126405754,-0.028122956180510163
2012-04-27,8.316589055938887e-05,-0.1553409644952835,0.0,-0.1632,3.9907461886104123,-0.0005350454788657115
2012-04-30,-0.0031630513132523755,-0.15900696299164285,0.0,-0.17149999999999999,4.519960728850162,0.02036199095022622
2012-05-01,0.003713188030422375,-0.15471927320786935,0.0,-0.166,5.792772740498608,-0.023352361183186263
2012-05-02,0.00014308824315696931,-0.1545540700943498,0.0,-0.16879999999999998,6.118032831164362,-0.0009248249438499271
2012-05-03,-0.005490736700720327,-0.16092842239007632,0.0,-0.17559999999999998,6.543653515102031,0.03552631578947372
2012-05-04,-0.00843853187949752,-0.1916,0.020803956467142892,-0.1916,5.158842220111207,0.05237191650853884
2012-05-07,0.005691998083373246,-0.18485580304002253,0.0,-0.1894,5.620763292159417,-0.02970771442261611
2012-05-08,-0.0015234119069718844,-0.1866635804680775,0.0,-0.1905,5.735247709773596,0.008241082410824049
2012-05-09,-0.00798754927361577,-0.19621843415288115,0.0,-0.20079999999999998,9.212012452490884,0.042791150012156616
2012-05-10,0.009463178404816459,-0.18500452492301983,0.0,-0.1883,8.920420054130512,-0.04822777454968039
2012-05-11,-0.0067519899606941535,-0.19306005443305707,0.0,-0.1989,10.317887366952492,0.0364963503649635
2012-05-14,-0.013254532392070688,-0.20908592296377712,0.0,-0.2187,11.557469508471826,0.06865497076023384
2012-05-15,-0.007305906895436623,-0.21798440361669458,0.0,-0.21969999999999998,13.440161736227823,0.03494212710198729
2012-05-16,-0.004172366670759717,-0.22308757344355085,0.0,-0.2227,13.795856730839043,0.019140666036348356
2012-05-17,-0.01645728000813081,-0.2435530745971684,0.0,-0.24489999999999998,14.813073389644071,0.07377049180327873
2012-05-18,-0.018364203701947628,-0.2668171630322154,0.0,-0.251,16.992830527646134,0.07540123947242969
2012-05-21,0.036077686445171724,-0.22270480255078268,0.0,-0.22010000000000002,8.202434923612909,-0.13521501403871727
2012-05-22,-0.0063190779864869245,-0.23048030354974963,0.0,-0.2248,8.400866006191757,0.028374233128834324
2012-05-23,0.0013714530459158524,-0.22879506880982398,0.0,-0.22329999999999997,8.228674774617875,-0.005950413223140439
2012-05-24,0.004629405157110634,-0.22313269201756722,0.0,-0.21539999999999998,7.447470741181759,-0.020233850236338037
2012-05-25,-0.0022595715647348662,-0.2259027069152444,0.0,-0.21760000000000002,7.664915058421936,0.01012658227848105
2012-05-29,0.013345972769178266,-0.20975731868278974,0.0,-0.21030000000000001,6.064064348718468,-0.05907841013248899
2012-05-30,-0.022220054945210763,-0.23724906079455516,0.0,-0.2414,7.700989956307875,0.10593220338983045
2012-05-31,-0.0032321215261208653,-0.2412609670858068,0.0,-0.24059999999999998,7.675051086273328,0.013623326959847094
2012-06-01,-0.01608406447238711,-0.2615518483499262,0.0,-0.2666,7.277456314302949,0.06666666666666662
2012-06-04,0.006947590923295662,-0.25284757590330736,0.0,-0.2612,7.079685504377569,-0.026562958614616966
2012-06-05,0.011181887382005451,-0.23899329244018108,0.0,-0.2468,7.745275124223433,-0.04422382671480137
2012-06-06,0.018098448340639953,-0.21696805889407775,0.0,-0.2216,1.1737912539788091,-0.07572785058463476
2012-06-07,0.002312857480596756,-0.21415988013267243,0.0,-0.21719999999999998,0.7331182703608903,-0.010659898477157306
2012-06-08,0.012322472612506276,-0.10615000000000001,0.09317535254123131,-0.10615000000000001,-0.13262866969253295,-0.057756197291081016
2012-06-11,-0.01221775120840392,-0.23559999999999998,0.11583382891159623,-0.23559999999999998,1.2270994189525801,0.1145533141210374
2012-06-12,0.008350761231266119,-0.11044999999999999,0.1148474722135738,-0.11044999999999999,-0.14712211197520375,-0.03568839120277125
2012-06-13,-0.005690305565411545,-0.2427,0.12596577617774268,-0.2427,3.1181361828841716,0.050949050949050924
2012-06-14,0.01579664673036479,-0.1084,0.11490559140310178,-0.1084,-0.01470596825841497,-0.06532385466034751
2012-06-15,0.006297997554394545,-0.21109999999999998,0.10969704345074083,-0.21109999999999998,5.118189914971879,-0.0586055911081173
2012-06-18,0.01743648757016839,-0.19034457167182675,0.0,-0.1832,2.5198372727295535,-0.08259823576583794
2012-06-19,-0.00040451898925618275,-0.19082628351641454,0.0,-0.1838,2.463353374699132,0.0021251931993816683
2012-06-20,0.01243303680020764,-0.1762025143707463,0.0,-0.1724,4.1314124917406705,-0.06515369146796894
2012-06-21,-0.024987153627147415,-0.2063456586714112,0.0,-0.20079999999999998,1.672348259665828,0.14180929095354533
2012-06-22,0.01286233287635501,-0.09054999999999999,0.10041724470061578,-0.09054999999999999,-0.27113929881406307,-0.06257723851252668
2012-06-25,-0.0024095302983275797,-0.20379999999999998,0.11067657757348154,-0.20379999999999998,1.2491028276736884,0.025998807394156147
2012-06-26,0.006062808195392982,-0.19654557368967301,0.0,-0.1972,1.3683200835259797,-0.029748813520083326
2012-06-27,0.00044345872225434507,-0.19601519032157622,0.0,-0.1945,0.9408306241659936,-0.002256264101650667
2012-06-28,0.0030884990300639116,-0.19233267202052728,0.0,-0.1971,1.8507665755310292,-0.015756426963629805
2012-06-29,0.014471606980082496,-0.08539999999999999,0.08987178871059277,-0.08539999999999999,-4.299175052583223,-0.07547621900083866
2012-07-02,0.005696999356085003,-0.07925150487169219,0.0,-0.084,-4.591665696862531,-0.06670959433354805
2012-07-03,0.001857202594636062,-0.07725083183174043,0.0,-0.0833,-4.462080377683904,-0.02343428806358774
2012-07-05,-0.0037247474656887125,-0.08127832051578575,0.0,-0.0875,-3.7845214033089682,0.04821627647714606
2012-07-06,0.0017085210156015202,-0.07943408469712411,0.0,-0.0855,-0.9305631133682724,-0.021020624008461074
2012-07-09,-7.149031456336703e-05,-0.17980000000000002,0.10034290250456421,-0.17980000000000002,0.13597167085502448,0.0002683843263552677
