,ret
2010-11-22,0.006653741015597568
2010-11-23,-0.008842091421418393
2010-11-24,0.008744366235703733
2010-11-26,-0.012831964368900021
2010-11-29,-0.00032295
2010-11-30,-0.015600867294600399
2010-12-01,0.011857960755022467
2010-12-02,0.018565617598932695
2010-12-03,0.007526154912445078
2010-12-06,0.0021811418685121035
2010-12-07,0.00032715530149935357
2010-12-08,0.002416531909074644
2010-12-09,0.003384061042814749
2010-12-10,0.0006713382367124573
2010-12-13,-0.0022266784849817836
2010-12-14,-0.001981475481025642
2010-12-15,-0.003105920521621086
2010-12-16,0.0033077499451082673
2010-12-17,0.0030074562640072396
2010-12-20,0.0055090890709340095
2010-12-21,0.0031626528888628893
2010-12-22,0.00026366950628774015
2010-12-23,-0.0050935403599276586
2010-12-27,-0.004906656467715603
2010-12-28,-0.0008976693526154581
2010-12-29,0.002190963240026332
2010-12-30,0.0012639150762436236
2010-12-31,0.0026533668462897712
2011-01-03,0.0029097238188672703
2011-01-04,0.001167673585956249
2011-01-05,0.0030912316389967672
2011-01-06,0.0004053010628160988
2011-01-07,-0.0006262542702745159
2011-01-10,0.0001556660383247164
2011-01-11,0.0050367383485855
2011-01-12,0.007465358239024635
2011-01-13,0.000989496428390362
2011-01-14,0.006658438890527513
2011-01-18,0.003963195889645701
2011-01-19,-0.007841822451855317
2011-01-20,0.00089524339281422
2011-01-21,-0.001756166147147435
2011-01-24,0.00398582873520173
2011-01-25,0.0017543156360307008
2011-01-26,0.005571642455391267
2011-01-27,0.0026890127263243372
2011-01-28,-0.01608024600981799
2011-01-31,0.0026770510396975215
2011-02-01,0.010341695477865264
2011-02-02,-0.00032155005583240807
2011-02-03,0.0027108255429491796
2011-02-04,0.004673440700943052
2011-02-07,0.0034916346780232946
2011-02-08,0.0019008974889123402
2011-02-09,-0.00033495338990211843
2011-02-10,-0.00047679329826055854
2011-02-11,0.0024708721274377364
2011-02-14,0.0018174673697870188
2011-02-15,-0.001924337174160488
2011-02-16,-0.002126945899479391
2011-02-17,-0.0014015012233597828
2011-02-18,-0.0013986802345723756
2011-02-22,-0.022995869009192278
2011-02-23,-0.010240618030632802
2011-02-24,0.0034379908132688777
2011-02-25,0.014996892753606621
2011-02-28,0.008629734463811755
2011-03-01,-0.016523519487511053
2011-03-02,0.0009432815876975934
2011-03-03,0.010947995080710034
2011-03-04,-0.0037388959090182087
2011-03-07,-0.007411468471119015
2011-03-08,0.004427592844235888
2011-03-09,-0.004299904891755865
2011-03-10,-0.00911100483420259
2011-03-11,0.006691328648799183
2011-03-14,-0.0025462304641282033
2011-03-15,-0.012760343825485122
2011-03-16,0.0
2011-03-17,-0.0
2011-03-18,-0.0
2011-03-21,-0.00030915
2011-03-22,0.0008934421693414624
2011-03-23,0.008804269627444721
2011-03-24,0.0024138842764657455
2011-03-25,0.001353517364203023
2011-03-28,-0.004754155537460949
2011-03-29,0.005938877899149942
2011-03-30,0.0027676861596682974
2011-03-31,-0.0006134974910485452
2011-04-01,0.0021858171012136326
2011-04-04,0.0028354573128438355
2011-04-05,0.0010720496766151685
2011-04-06,0.0007574934276979102
2011-04-07,-0.001199728751530423
2011-04-08,-0.002409894131322679
2011-04-11,0.0018429378254407938
2011-04-12,-0.0022390603339854974
2011-04-13,0.0030649419735565824
2011-04-14,0.0020174660196776834
2011-04-15,0.005044023087373189
2011-04-18,-0.004542551505805894
2011-04-19,0.009205520793901127
2011-04-20,0.00777573494030377
2011-04-21,0.0019997376178473515
2011-04-25,0.0035494196671363655
2011-04-26,0.0013850176969235765
2011-04-27,0.00252470083000684
2011-04-28,0.0020976728109887892
2011-04-29,0.00038418796605396016
2011-05-02,-0.0039975045213084615
2011-05-03,-0.004368207324276431
2011-05-04,-0.0020535100772466047
2011-05-05,-0.002707751796038568
2011-05-06,0.001810420589476471
2011-05-09,0.006218616972452844
2011-05-10,0.006201627742879771
2011-05-11,-0.004189207646403743
2011-05-12,0.003182003968078585
2011-05-13,-0.0033150793694019707
2011-05-16,-0.0037904052114494887
2011-05-17,0.0029304821930814804
2011-05-18,0.00516403146150618
2011-05-19,0.0034157125054190217
2011-05-20,-0.0034146885648294405
2011-05-23,-0.004572956609485368
2011-05-24,0.002235508477093706
2011-05-25,0.0031164347635888098
2011-05-26,0.004819593781730902
2011-05-27,0.003106552493048688
2011-05-31,0.004897456319350724
2011-06-01,-0.011222944569069098
2011-06-02,0.0015934821455079694
2011-06-03,-0.001127982254358058
2011-06-06,-0.0020097778528082697
2011-06-07,0.0020535422140664744
2011-06-08,-0.0023746756299774475
2011-06-09,0.005435321999428119
2011-06-10,-0.006398482214966822
2011-06-13,-0.003946304007366158
2011-06-14,0.007724904032576213
2011-06-15,-0.015527140704771868
2011-06-16,-0.010515120777524955
2011-06-17,-0.00032775
2011-06-20,0.010037701104865286
2011-06-21,0.004836298568201211
2011-06-22,-0.0034110134141641124
2011-06-23,0.004188048058610388
2011-06-24,-0.010809719205510193
2011-06-27,0.004810218766456902
2011-06-28,0.009982629087333215
2011-06-29,0.009314221556244952
2011-06-30,0.006994615455348058
2011-07-01,0.007473186984393804
2011-07-05,-0.0007180632591634912
2011-07-06,-0.0026077000831184003
2011-07-07,0.0047776860723802595
2011-07-08,-0.0036161335288717785
2011-07-11,-0.01408251996447897
2011-07-12,-0.004826986050012509
2011-07-13,-0.001085901135020129
2011-07-14,-0.006097831252100514
2011-07-15,0.004454631829032239
2011-07-18,-0.007981953398908998
2011-07-19,0.012723245893668663
2011-07-20,0.0037490011399946106
2011-07-21,0.009582001200547474
2011-07-22,0.0009683478967268704
2011-07-25,-0.009677749993238616
2011-07-26,-0.0029813406095254543
2011-07-27,-0.014793942800732079
2011-07-28,0.0
2011-07-29,-0.0
2011-08-01,-0.0
2011-08-02,0.0
2011-08-03,-0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-08,0.0
2011-08-09,-0.0005259
2011-08-10,0.051939866069443584
2011-08-11,-0.01464092766769659
2011-08-12,0.00169809091066754
2011-08-15,-0.01780737484365899
2011-08-16,0.003919401615271648
2011-08-17,0.011226210550918294
2011-08-18,0.06404531592208139
2011-08-19,0.024718029809619277
2011-08-22,0.01374239275121639
2011-08-23,-0.023592184167720784
2011-08-24,-0.0072272324723247254
2011-08-25,0.010401104787659442
2011-08-26,-0.0
2011-08-29,-0.00048420000000000006
2011-08-30,0.008850967741935499
2011-08-31,-0.007578825352149902
2011-09-01,-0.0027819509205701466
2011-09-02,-0.019633524922293234
2011-09-06,0.0
2011-09-07,-0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,0.0
2011-09-13,-0.0
2011-09-14,-0.000519
2011-09-15,0.017663098046331607
2011-09-16,0.007656377784940429
2011-09-19,-0.012748705018158382
2011-09-20,0.0015325437779374021
2011-09-21,-0.027289259084779326
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,-0.0
2011-09-27,-0.0
2011-09-28,0.0
2011-09-29,-0.0
2011-09-30,0.0
2011-10-03,0.0
2011-10-04,-0.0
2011-10-05,-0.0005671500000000001
2011-10-06,0.005058193979933111
2011-10-07,-0.0007316815411848863
2011-10-10,0.026884225295495476
2011-10-11,0.0008129418681560967
2011-10-12,0.010247459135042014
2011-10-13,0.0010830213445491344
2011-10-14,0.009176462096606847
2011-10-17,-0.035792111526691615
2011-10-18,0.019555771174063936
2011-10-19,-0.02754613190090199
2011-10-20,0.0
2011-10-21,-0.0004698
2011-10-24,0.0177320610687023
2011-10-25,-0.02414023029076462
2011-10-26,0.017437400231128043
2011-10-27,0.040274044344763976
2011-10-28,0.00019524539877300377
2011-10-31,-0.016515887934965542
2011-11-01,-0.03760316536881051
2011-11-02,-0.0004911000000000001
2011-11-03,0.014814075447749531
2011-11-04,-0.002705522238880562
2011-11-07,0.0009193561933360229
2011-11-08,0.008591923111249544
2011-11-09,-0.030427811707749875
2011-11-10,-0.024404594754897615
2011-11-11,0.014680745619891146
2011-11-14,-0.002830464121132329
2011-11-15,9.913098006246657e-06
2011-11-16,-0.019462081742097986
2011-11-17,-0.011395697937893716
2011-11-18,0.014436443595094509
2011-11-21,-0.006180005602249936
2011-11-22,0.00653079136812926
2011-11-23,-0.013164807046721965
2011-11-25,-0.008582326253374866
2011-11-28,0.024563722361711043
2011-11-29,0.006171509489417275
2011-11-30,0.02770232971316414
