Date,Adj Close,Close,High,Low,Open,Volume
2018-03-23,1777.1116943359375,1917.5,1955.0,1875.0,1905.0,1815000
2018-03-26,1730.7724609375,1867.5,1875.0,1792.5,1867.5,1959800
2018-03-27,1802.598388671875,1945.0,1982.5,1935.0,1962.5,1079600
2018-03-28,1728.4554443359375,1865.0,1917.5,1852.5,1875.0,1117800
2018-03-29,1756.2589111328125,1895.0,1907.5,1870.0,1900.0,860200
2018-03-30,1811.866455078125,1955.0,1970.0,1900.0,1922.5,1003400
2018-04-02,1835.0360107421875,1980.0,2025.0,1977.5,1977.5,791600
2018-04-03,1802.598388671875,1945.0,1957.5,1907.5,1922.5,821800
2018-04-04,1740.040283203125,1877.5,1997.5,1875.0,1980.0,828400
2018-04-05,1765.5269775390625,1905.0,1915.0,1875.0,1902.5,527600
2018-04-06,1779.428955078125,1920.0,1945.0,1897.5,1917.5,597200
2018-04-09,1765.5269775390625,1905.0,1917.5,1852.5,1885.0,621600
2018-04-10,1781.7454833984375,1922.5,1945.0,1872.5,1905.0,830600
2018-04-11,1784.0626220703125,1925.0,1997.5,1925.0,1955.0,922200
2018-04-12,1779.428955078125,1920.0,1942.5,1897.5,1922.5,509600
2018-04-13,1860.5224609375,2007.5,2017.5,1940.0,1940.0,748800
2018-04-16,1844.3035888671875,1990.0,2035.0,1985.0,2017.5,650400
2018-04-17,1872.107177734375,2020.0,2042.5,1985.0,1990.0,947000
2018-04-18,1890.64306640625,2040.0,2045.0,1990.0,2032.5,782800
2018-04-19,1804.9151611328125,1947.5,2007.5,1922.5,1990.0,1103600
2018-04-20,1918.44677734375,2070.0,2087.5,1905.0,1907.5,1762600
2018-04-23,1786.379638671875,1927.5,2030.0,1895.0,2027.5,1671800
2018-04-24,1772.4779052734375,1912.5,1937.5,1887.5,1932.5,859800
2018-04-25,1679.7991943359375,1812.5,1870.0,1765.0,1870.0,1693200
2018-04-26,1647.3616943359375,1777.5,1870.0,1777.5,1817.5,1782600
